"sample_id","sample_label","analysis_sample_id","analysis_group_id","infection_status","time_point","analysis_group","analysis_group_description","reps","single_sample_or_pre_pooled","number_of_sorted_cells","seq_chemistry","paired_end","read_length","platform","tissue_source","parasite_species","read1_fastq","read2_fastq"
"Day0.Naive_L1Pf7","L1Pf7","L1Pf7_Day0.Naive","control_S1","control","Day0","control","control_biological_replicate","Rep 1","Single Sample ","2K","Smart-seq2 coupled with NEXTERA XT",TRUE,"75pb","NextSeq","naive basline FRGN huHep mouse","Plasmodium falciparum","Day0.Naive_L1Pf7_1.fq.gz","Day0.Naive_L1Pf7_2.fq.gz"
"L1PfM1_S13","L1PfM1","L1PfM1_S13","control_S2","control","Day2","control","control_biological_replicate","Rep 1","Pooled","2.5K","Smart-seq2 coupled with NEXTERA XT",TRUE,"75pb","NextSeq"," uninfected FRGN huHep mouse - MOCK - with mosquito debris","Plasmodium falciparum","L1PfM1_S13_1.fq.gz","L1PfM1_S13_2.fq.gz"
"L1PfM2_S14","L1PfM2","L1PfM2_S14","control_S3","control","Day6","control","control_biological_replicate","Rep 1","Pooled","2.5K","Smart-seq2 coupled with NEXTERA XT",TRUE,"75pb","NextSeq"," uninfected FRGN huHep mouse - MOCK - with mosquito debris","Plasmodium falciparum","L1PfM2_S14_1.fq.gz","L1PfM2_S14_2.fq.gz"
"Day2.NoGFP_L1Pf1","L1Pf1","L1Pf1_Day2.NoGFP","Day2_Heps_S1_Pf-","Uninfected","Day2","Day2_Heps_Pf-","Day2_Hepatocytes_Pf_Uninfected_biological_replicate","Rep 1","Single Sample ","2K","Smart-seq2 coupled with NEXTERA XT",TRUE,"75pb","NextSeq","infected FRGN huHep mouse","Plasmodium falciparum","Day2.NoGFP_L1Pf1_1.fq.gz","Day2.NoGFP_L1Pf1_2.fq.gz"
"L2Pf1_S1","L2Pf1","L2Pf1_S1","Day2_Heps_S2_Pf-","Uninfected","Day2","Day2_Heps_Pf-","Day2_Hepatocytes_Pf_Uninfected_biological_replicate","Rep 2","Pre-pooled","2.5K","Smart-seq2 coupled with NEXTERA XT",TRUE,"75pb","NextSeq","infected FRGN huHep mouse","Plasmodium falciparum","L2Pf1_S1_1.fq.gz","L2Pf1_S1_2.fq.gz"
"TR2_L2Pf1_S6","TR2_L2Pf1","L2Pf1_S6_TR2","Day2_Heps_TR1_Pf-","Uninfected","Day2","Day2_Heps_Pf-","Day2_Hepatocytes_Pf_Uninfected_technical_replicate","Technical Reps ","Pooled","same RNA of L2Pf1","Smart-seq2 coupled with NEXTERA XT",TRUE,"75pb","NextSeq","infected FRGN huHep mouse","Plasmodium falciparum","TR2_L2Pf1_S6_1.fq.gz","TR2_L2Pf1_S6_2.fq.gz"
"L3Pf1_S1","L3Pf1","L3Pf1_S1","Day2_Heps_S3_Pf-","Uninfected","Day2","Day2_Heps_Pf-","Day2_Hepatocytes_Pf_Uninfected_biological_replicate","Rep 3","Pooled","2.5K","Smart-seq2 coupled with NEXTERA XT",TRUE,"75pb","NextSeq","infected FRGN huHep mouse","Plasmodium falciparum","L3Pf1_S1_1.fq.gz","L3Pf1_S1_2.fq.gz"
"L3Pf1_S7","L3Pf1","L3Pf1_S7","Day2_Heps_S4_Pf-","Uninfected","Day2","Day2_Heps_Pf-","Day2_Hepatocytes_Pf_Uninfected_biological_replicate","Rep 3 to discard no P. falciparum reads ","Pre-pooled","2.5K","Smart-seq2 coupled with NEXTERA XT",TRUE,"75pb","NextSeq","infected FRGN huHep mouse","Plasmodium falciparum","L3Pf1_S7_1.fq.gz","L3Pf1_S7_2.fq.gz"
"Day2.GFP_L1Pf2","L1Pf2","L1Pf2_Day2.GFP","Day2_Heps_S1_Pf+","Infected","Day2","Day2_Heps_Pf+","Day2_Hepatocytes_Pf_Infected_biological_replicate","Rep 1","Single Sample ","2K","Smart-seq2 coupled with NEXTERA XT",TRUE,"75pb","NextSeq","infected FRGN huHep mouse","Plasmodium falciparum","Day2.GFP_L1Pf2_1.fq.gz","Day2.GFP_L1Pf2_2.fq.gz"
"TR2_L1Pf2_S1","TR2_L1Pf2","L1Pf2_S1_TR2","Day2_Heps_TR1_Pf+","Infected","Day2","Day2_Heps_Pf+","Day2_Hepatocytes_Pf_Infected_technical_replicate","Technical Reps ","Pooled","same RNA of L1Pf2","Smart-seq2 coupled with NEXTERA XT",TRUE,"75pb","NextSeq","infected FRGN huHep mouse","Plasmodium falciparum","TR2_L1Pf2_S1_1.fq.gz","TR2_L1Pf2_S1_2.fq.gz"
